#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
272761:4888,05/06/16 21:55:22,7,7,0.001,0.001
272762:4888,05/06/16 22:35:07,15,15,0.003,0.002
272774:4889,05/07/16 01:50:26,10,10,0.037,0.032
272775:4889,05/07/16 01:56:54,160,160,0.565,0.505
272776:4889,05/07/16 03:18:52,100,100,0.317,0.286
272782:4890,05/07/16 08:17:47,28,28,0.103,0.090
272783:4890,05/07/16 08:34:04,141,141,0.503,0.452
272784:4890,05/07/16 09:33:34,287,287,0.968,0.871
272785:4890,05/07/16 11:31:50,142,142,0.457,0.411
272786:4890,05/07/16 12:29:31,57,57,0.180,0.162
272798:4892,05/07/16 16:59:03,1683,1683,7.304,6.740
272811:4895,05/08/16 12:56:02,90,90,1.859,1.599
272812:4895,05/08/16 13:33:21,372,372,7.739,6.942
272815:4895,05/08/16 16:07:43,13,13,0.259,0.219
272816:4895,05/08/16 16:16:08,24,24,0.476,0.425
272818:4895,05/08/16 16:31:31,591,591,11.070,10.025
272827:4896,05/08/16 23:27:27,5,5,0.125,0.020
272828:4896,05/08/16 23:32:49,54,54,1.212,0.314
272930:4905,05/10/16 00:23:40,161,161,3.683,3.404
272936:4906,05/10/16 04:16:27,356,356,8.540,7.704
273013:4910,05/10/16 19:20:09,304,304,7.202,6.447
273017:4910,05/10/16 21:35:31,911,911,19.363,17.645
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#9,22,5511,5511,71.967,64.295
#Check JSON:
#(run,ls) in json but not in results: []
