#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
275657:5038,06/24/16 03:32:31,105,105,18.226,16.698
275658:5038,06/24/16 04:16:08,337,337,57.701,54.619
275659:5038,06/24/16 06:31:38,17,17,2.790,2.695
275757:5043,06/25/16 03:45:05,17,17,3.453,3.085
275758:5043,06/25/16 03:59:02,4,4,0.803,0.736
275759:5043,06/25/16 04:05:31,6,6,1.200,1.112
275761:5043,06/25/16 04:24:16,9,9,1.768,1.548
275767:5043,06/25/16 05:31:36,4,4,0.744,0.656
275772:5043,06/25/16 06:28:17,56,56,9.999,9.619
275773:5043,06/25/16 06:53:33,7,7,1.232,1.100
275774:5043,06/25/16 07:01:55,312,312,53.602,51.244
275776:5043,06/25/16 09:11:22,140,140,22.860,21.705
275777:5043,06/25/16 10:12:23,300,300,46.633,44.780
275778:5043,06/25/16 12:13:15,305,305,44.403,42.803
275781:5043,06/25/16 14:30:08,29,29,4.039,3.900
275782:5043,06/25/16 14:44:48,762,762,97.372,93.726
275832:5045,06/26/16 17:18:04,367,367,71.469,67.008
275833:5045,06/26/16 19:45:08,251,251,45.053,43.427
275834:5045,06/26/16 21:26:02,297,297,49.856,47.963
275835:5045,06/26/16 23:24:23,13,13,2.140,1.940
275836:5045,06/26/16 23:32:01,1292,1292,185.088,176.667
275837:5045,06/27/16 07:59:13,714,714,80.932,78.597
275841:5045,06/27/16 13:17:38,50,50,5.257,5.112
275846:5045,06/27/16 13:53:32,6,6,0.622,0.571
275847:5045,06/27/16 13:59:23,2263,2263,194.959,190.307
275886:5048,06/28/16 08:40:35,45,45,9.020,8.266
275887:5048,06/28/16 09:06:36,48,48,9.388,8.507
275890:5048,06/28/16 09:27:45,1393,1393,229.454,220.341
275911:5052,06/29/16 01:49:58,378,378,71.219,68.352
275912:5052,06/29/16 04:21:24,289,289,50.603,48.643
275913:5052,06/29/16 06:19:55,475,475,76.019,72.251
275918:5052,06/29/16 09:29:21,361,361,52.817,51.018
275920:5052,06/29/16 11:56:25,459,459,60.630,58.221
275921:5052,06/29/16 14:59:31,22,22,2.799,2.553
275922:5052,06/29/16 15:13:10,3,3,0.380,0.262
275923:5052,06/29/16 15:17:42,126,126,15.708,15.140
275931:5052,06/29/16 16:34:22,89,89,10.699,10.403
275963:5056,06/30/16 01:02:54,91,91,18.786,17.797
276064:5059,06/30/16 19:18:43,22,22,4.362,0.100
276092:5060,07/01/16 02:14:56,75,75,14.417,13.567
276095:5060,07/01/16 02:56:44,5,5,0.994,0.196
276097:5060,07/01/16 03:07:31,507,507,94.214,90.409
276242:5069,07/02/16 14:05:35,1664,1664,263.878,251.233
276243:5069,07/03/16 00:56:43,608,608,76.461,72.353
276244:5069,07/03/16 05:04:17,1199,1199,127.678,123.245
276282:5071,07/03/16 18:15:24,1067,1067,195.002,187.240
276283:5071,07/04/16 01:14:13,1085,1085,159.458,153.370
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#10,47,17674,17674,2546.189,2435.082
#Check JSON:
#(run,ls) in json but not in results: [(275836, 1179)]
