#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
276315:5072,07/04/16 11:19:05,178,178,33.053,31.306
276317:5072,07/04/16 12:33:38,136,136,24.790,23.903
276318:5072,07/04/16 13:30:32,568,568,92.881,89.703
276327:5072,07/04/16 17:27:44,60,60,9.161,8.937
276352:5073,07/04/16 21:21:29,37,37,7.328,6.943
276355:5073,07/04/16 21:39:48,33,33,5.870,5.624
276357:5073,07/04/16 22:00:35,74,74,14.217,13.611
276361:5073,07/04/16 22:36:17,826,826,141.897,136.492
276363:5073,07/05/16 04:07:36,1481,1481,198.899,190.214
276384:5073,07/05/16 13:47:06,1080,1080,112.030,108.821
276437:5076,07/06/16 02:59:10,2128,2128,343.569,330.493
276454:5076,07/06/16 18:08:16,527,527,62.549,60.745
276458:5076,07/07/16 02:00:22,341,341,32.298,31.558
276495:5078,07/07/16 11:21:21,181,181,41.383,39.703
276501:5078,07/07/16 12:47:40,2544,2544,434.314,418.557
276502:5078,07/08/16 05:21:18,740,740,91.073,88.340
276525:5080,07/08/16 14:15:18,2805,2805,436.316,421.720
276527:5080,07/09/16 08:34:42,214,214,23.875,23.127
276528:5080,07/09/16 10:01:49,391,391,40.523,39.480
276542:5083,07/09/16 16:32:23,780,780,162.114,154.922
276543:5083,07/09/16 21:39:41,939,939,158.555,152.991
276544:5083,07/10/16 03:53:47,160,160,23.790,22.851
276545:5083,07/10/16 04:59:25,212,212,29.468,28.470
276581:5085,07/10/16 12:24:40,365,365,80.294,77.297
276582:5085,07/10/16 14:52:29,871,871,162.107,156.581
276583:5085,07/10/16 20:34:29,52,52,8.602,8.158
276584:5085,07/10/16 20:59:18,2,2,0.328,0.194
276585:5085,07/10/16 21:31:21,242,242,37.887,36.299
276586:5085,07/10/16 23:10:32,751,751,104.063,100.654
276587:5085,07/11/16 04:13:22,1006,1006,115.152,111.037
276653:5091,07/12/16 00:12:31,479,479,93.564,90.169
276655:5091,07/12/16 03:26:27,1091,1091,176.829,168.145
276659:5091,07/12/16 10:39:14,246,246,33.374,31.274
276775:5093,07/12/16 21:26:43,1154,1154,220.198,210.668
276776:5093,07/13/16 05:02:29,1817,1817,246.119,237.748
276794:5093,07/13/16 17:05:19,885,885,90.046,87.751
276807:5095,07/14/16 03:24:33,154,154,32.640,30.979
276808:5095,07/14/16 04:28:59,875,875,166.710,160.298
276810:5095,07/14/16 10:15:45,287,287,47.261,45.278
276811:5095,07/14/16 12:15:34,2562,2562,313.857,304.139
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#10,40,29274,29274,4448.982,4285.180
#Check JSON:
#(run,ls) in json but not in results: []
