#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
276831:5096,07/15/16 07:48:09,2633,2633,420.019,404.198
276832:5096,07/16/16 01:12:13,67,67,7.717,7.485
276834:5096,07/16/16 01:42:10,710,710,74.673,72.679
276870:5097,07/16/16 11:02:24,3406,3406,548.647,528.755
276935:5101,07/17/16 23:40:19,827,827,180.971,171.645
276940:5102,07/18/16 08:13:59,143,143,34.070,29.011
276946:5102,07/18/16 09:56:36,27,27,6.225,4.292
276947:5102,07/18/16 10:11:19,123,123,27.519,24.775
276948:5102,07/18/16 11:09:46,455,455,92.488,86.432
276950:5102,07/18/16 14:16:46,2347,2347,335.757,322.543
277069:5105,07/19/16 17:52:15,309,309,79.544,75.980
277070:5105,07/19/16 19:54:10,1053,1053,216.334,206.237
277071:5105,07/20/16 02:48:37,166,166,26.477,24.521
277072:5105,07/20/16 04:01:41,466,466,71.489,68.983
277073:5105,07/20/16 07:09:54,90,90,13.625,13.207
277076:5105,07/20/16 07:56:22,1029,1029,134.839,130.496
277087:5105,07/20/16 17:49:22,988,988,91.572,88.429
277094:5106,07/21/16 04:03:57,584,584,142.151,136.409
277096:5106,07/21/16 07:56:15,2081,2081,345.748,333.014
277112:5106,07/21/16 21:29:35,155,155,18.609,17.945
277126:5107,07/22/16 01:36:48,18,18,4.454,1.972
277127:5107,07/22/16 01:46:10,902,902,191.668,184.247
277148:5108,07/22/16 10:31:28,615,615,133.836,128.271
277166:5109,07/22/16 18:10:47,353,353,74.393,70.855
277168:5109,07/22/16 20:34:54,2219,2219,330.348,318.695
277180:5110,07/23/16 13:38:21,140,140,33.315,31.138
277194:5111,07/23/16 18:25:08,1938,1938,387.009,367.714
277305:5116,07/25/16 01:23:38,682,682,161.846,153.346
277420:5117,07/25/16 19:45:02,260,260,64.349,60.781
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#13,29,24786,24786,4249.692,4064.054
#Check JSON:
#(run,ls) in json but not in results: []
