#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
278820:5199,08/14/16 11:04:22,1019,1019,201.388,193.664
278821:5199,08/14/16 21:38:05,13,13,1.922,1.752
278822:5199,08/14/16 21:52:48,1003,1003,117.729,114.117
278873:5205,08/15/16 23:28:29,35,35,6.268,1.360
278874:5205,08/15/16 23:52:17,397,397,72.709,68.435
278875:5205,08/16/16 03:02:31,736,736,105.931,101.226
278923:5206,08/16/16 12:16:33,362,362,90.324,86.404
278957:5209,08/16/16 21:31:37,135,135,34.612,33.204
278962:5210,08/17/16 01:08:32,259,259,62.228,59.320
278963:5210,08/17/16 03:24:58,128,128,28.501,27.527
278969:5211,08/17/16 07:16:53,909,909,197.540,188.996
278975:5211,08/17/16 16:23:17,675,675,99.650,95.078
278976:5211,08/17/16 21:58:17,18,18,2.381,2.294
278986:5213,08/18/16 04:03:23,110,110,28.842,27.192
279024:5219,08/18/16 22:31:54,255,255,44.430,42.156
279029:5219,08/19/16 02:19:42,203,203,31.230,30.031
279071:5222,08/19/16 15:40:07,164,164,22.247,21.376
279080:5223,08/19/16 22:43:14,138,138,11.549,11.201
279115:5229,08/20/16 22:08:10,359,359,77.696,74.759
279116:5229,08/21/16 01:36:04,366,366,77.616,74.598
279479:5247,08/25/16 04:33:24,83,83,5.367,5.048
279588:5251,08/25/16 21:08:12,1047,1047,214.945,207.170
279653:5253,08/26/16 14:05:53,167,167,41.619,40.327
279654:5253,08/26/16 15:21:58,1105,1105,221.498,214.269
279656:5253,08/26/16 23:50:27,35,35,5.471,4.449
279658:5253,08/27/16 01:35:20,597,597,80.446,78.243
279667:5254,08/27/16 09:08:47,832,832,186.478,180.799
279681:5256,08/27/16 21:57:03,22,22,5.984,5.630
279682:5256,08/27/16 22:11:02,27,27,7.029,6.230
279683:5256,08/27/16 22:32:16,22,22,5.668,5.473
279684:5256,08/27/16 22:47:00,18,18,4.536,4.297
279685:5256,08/27/16 23:07:12,193,193,46.447,44.946
279691:5257,08/28/16 03:41:27,37,37,8.574,8.004
279694:5257,08/28/16 04:03:10,1931,1931,358.732,348.547
279715:5258,08/28/16 22:01:35,574,574,133.181,127.892
279716:5258,08/29/16 02:17:07,1441,1441,232.795,226.693
279760:5261,08/29/16 20:21:48,618,618,149.888,145.090
279766:5261,08/30/16 01:08:37,1476,1476,241.350,234.995
279767:5261,08/30/16 12:08:03,681,681,79.907,78.127
279794:5264,08/30/16 23:41:26,903,903,202.967,197.219
279823:5265,08/31/16 10:00:40,294,294,73.779,71.541
279841:5266,08/31/16 15:23:42,1817,1817,350.112,339.150
279844:5267,09/01/16 07:22:03,212,212,55.883,53.611
279887:5270,09/01/16 23:21:16,294,294,70.664,68.042
279931:5274,09/02/16 11:37:40,2656,2656,441.271,427.992
279966:5275,09/03/16 09:21:11,326,326,85.982,82.860
279975:5276,09/03/16 14:45:32,925,925,221.817,214.424
279993:5277,09/04/16 00:23:51,63,63,17.216,16.315
279994:5277,09/04/16 00:56:49,39,39,10.819,10.334
279995:5277,09/04/16 01:20:34,7,7,1.904,1.068
280002:5277,09/04/16 01:55:31,99,99,25.209,24.940
280006:5277,09/04/16 02:44:22,62,62,15.075,14.422
280007:5277,09/04/16 03:14:22,31,31,7.339,7.220
280013:5277,09/04/16 03:35:47,24,24,5.540,5.316
280015:5277,09/04/16 03:55:20,525,525,107.671,103.485
280016:5277,09/04/16 07:43:03,136,136,24.528,23.633
280017:5277,09/04/16 08:46:10,546,546,87.999,85.499
280018:5277,09/04/16 12:47:05,1117,1117,137.529,133.958
280020:5277,09/04/16 21:15:15,42,42,4.301,4.139
280024:5277,09/04/16 21:47:41,379,379,36.396,35.716
280187:5279,09/05/16 20:24:46,52,52,13.097,12.250
280188:5279,09/05/16 20:50:48,218,218,56.572,54.272
280191:5279,09/05/16 22:40:17,834,834,169.616,163.572
280194:5279,09/06/16 05:36:21,207,207,32.073,31.058
280242:5282,09/06/16 15:43:40,586,586,142.272,136.539
280249:5282,09/06/16 19:52:07,1326,1326,223.020,215.809
280251:5282,09/07/16 05:14:58,334,334,42.028,40.927
280327:5287,09/08/16 08:24:24,32,32,8.480,7.802
280330:5287,09/08/16 08:46:53,784,784,177.887,171.351
280349:5287,09/08/16 14:27:23,570,570,99.126,96.027
280363:5287,09/08/16 18:47:24,327,327,47.101,45.567
280364:5287,09/08/16 21:09:58,1277,1277,150.907,145.630
280383:5288,09/09/16 08:41:14,2,2,0.552,0.251
280384:5288,09/09/16 08:49:13,33,33,8.442,7.847
280385:5288,09/09/16 09:11:36,1854,1854,349.236,337.117
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#32,75,37123,37123,6849.118,6607.821
#Check JSON:
#(run,ls) in json but not in results: []
