#Data tag : v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
281613:5331,09/25/16 06:03:57,758,758,10.485,9.484
281616:5332,09/25/16 14:15:48,301,301,8.264,7.578
281638:5338,09/26/16 07:34:44,3,3,0.527,0.161
281639:5338,09/26/16 07:45:15,132,132,20.553,19.289
281641:5338,09/26/16 09:34:34,320,320,41.448,39.640
281663:5339,09/26/16 14:45:36,22,22,7.093,6.573
281674:5339,09/26/16 15:38:05,8,8,2.406,2.302
281680:5339,09/26/16 16:05:15,6,6,1.767,1.606
281686:5339,09/26/16 16:25:02,20,20,5.588,5.282
281689:5339,09/26/16 16:39:37,6,6,1.649,1.554
281691:5339,09/26/16 16:48:30,14,14,3.800,3.607
281693:5339,09/26/16 16:57:02,2192,2192,392.082,379.162
281707:5340,09/27/16 09:47:53,967,967,228.115,218.877
281726:5340,09/27/16 16:14:38,288,288,51.188,49.449
281727:5340,09/27/16 18:10:04,1606,1606,206.363,200.508
281797:5345,09/28/16 12:05:12,2052,2052,412.145,397.630
281975:5351,09/30/16 03:23:13,215,215,58.650,54.084
281976:5351,09/30/16 04:48:03,2168,2168,352.539,339.010
282033:5352,09/30/16 21:30:44,36,36,8.986,8.276
282034:5352,09/30/16 21:48:05,33,33,9.409,8.690
282035:5352,09/30/16 22:03:02,40,40,11.061,9.500
282037:5352,09/30/16 22:24:15,1863,1863,345.579,331.549
282092:5355,10/02/16 13:50:01,2184,2184,403.605,390.928
282663:5386,10/08/16 16:49:41,711,711,9.435,9.162
282708:5391,10/09/16 08:39:31,8,8,2.546,2.159
282710:5391,10/09/16 08:49:08,2,2,0.624,0.352
282712:5391,10/09/16 09:00:13,69,69,20.200,19.233
282730:5393,10/09/16 12:41:53,76,76,22.783,20.831
282731:5393,10/09/16 13:13:59,172,172,51.040,48.195
282732:5393,10/09/16 14:23:16,69,69,19.015,18.269
282733:5393,10/09/16 14:52:27,177,177,45.302,43.581
282734:5393,10/09/16 16:03:11,327,327,73.726,71.045
282735:5393,10/09/16 18:12:40,1820,1820,277.845,270.026
282800:5394,10/10/16 14:17:15,377,377,98.207,94.510
282807:5394,10/10/16 16:48:03,326,326,74.966,71.035
282814:5394,10/10/16 18:58:58,1844,1844,284.872,276.124
282842:5395,10/11/16 10:34:00,81,81,24.871,23.870
282917:5401,10/12/16 01:27:31,73,73,18.690,18.003
282918:5401,10/12/16 02:00:23,51,51,13.487,12.931
282919:5401,10/12/16 02:23:36,245,245,59.911,57.559
282922:5401,10/12/16 05:09:33,131,131,27.346,25.500
